ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-3+StopWordRemoval,9472,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-1+StopWordRemoval,99245,TEXTRANK.TXT,0.77711,0.88055,0.82560,1

ROUGE-2+StopWordRemoval,99245,TEXTRANK.TXT,0.73716,0.83562,0.78331,1

ROUGE-3+StopWordRemoval,99245,TEXTRANK.TXT,0.72121,0.81787,0.76651,1

ROUGE-1+StopWordRemoval,89722,TEXTRANK.TXT,0.91346,1.00000,0.95477,1

ROUGE-2+StopWordRemoval,89722,TEXTRANK.TXT,0.90821,0.99471,0.94949,1

ROUGE-3+StopWordRemoval,89722,TEXTRANK.TXT,0.90291,0.98936,0.94416,1

ROUGE-1+StopWordRemoval,90821,TEXTRANK.TXT,0.21154,0.22111,0.21622,1

ROUGE-2+StopWordRemoval,90821,TEXTRANK.TXT,0.03382,0.03535,0.03457,1

ROUGE-3+StopWordRemoval,90821,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-1+StopWordRemoval,11751,TEXTRANK.TXT,0.21127,0.55556,0.30612,1

ROUGE-2+StopWordRemoval,11751,TEXTRANK.TXT,0.07075,0.18750,0.10274,1

ROUGE-3+StopWordRemoval,11751,TEXTRANK.TXT,0.02844,0.07595,0.04138,1

ROUGE-1+StopWordRemoval,.DS,STORE,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,.DS,STORE,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,.DS,STORE,1.00000,1.00000,1.00000,1

ROUGE-1+StopWordRemoval,90341,TEXTRANK.TXT,0.96471,1.00000,0.98204,1

ROUGE-2+StopWordRemoval,90341,TEXTRANK.TXT,0.96460,1.00000,0.98198,1

ROUGE-3+StopWordRemoval,90341,TEXTRANK.TXT,0.96450,1.00000,0.98193,1

