ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,89828,TEXTRANK.TXT,0.52101,0.56364,0.54148,1

ROUGE-2+StopWordRemoval,89828,TEXTRANK.TXT,0.36287,0.39269,0.37719,1

ROUGE-3+StopWordRemoval,89828,TEXTRANK.TXT,0.33051,0.35780,0.34361,1

ROUGE-1+StopWordRemoval,11818,TEXTRANK.TXT,0.06584,0.66667,0.11985,1

ROUGE-2+StopWordRemoval,11818,TEXTRANK.TXT,0.02893,0.30435,0.05283,1

ROUGE-3+StopWordRemoval,11818,TEXTRANK.TXT,0.01660,0.18182,0.03042,1

ROUGE-1+StopWordRemoval,90769,TEXTRANK.TXT,0.84332,1.00000,0.91500,1

ROUGE-2+StopWordRemoval,90769,TEXTRANK.TXT,0.84259,1.00000,0.91457,1

ROUGE-3+StopWordRemoval,90769,TEXTRANK.TXT,0.84186,1.00000,0.91414,1

ROUGE-1+StopWordRemoval,91614,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-2+StopWordRemoval,91614,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-3+StopWordRemoval,91614,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-1+StopWordRemoval,90889,TEXTRANK.TXT,0.57692,0.66502,0.61785,1

ROUGE-2+StopWordRemoval,90889,TEXTRANK.TXT,0.45494,0.52475,0.48736,1

ROUGE-3+StopWordRemoval,90889,TEXTRANK.TXT,0.41810,0.48259,0.44804,1

ROUGE-1+StopWordRemoval,89783,TEXTRANK.TXT,0.86957,1.00000,0.93023,1

ROUGE-2+StopWordRemoval,89783,TEXTRANK.TXT,0.86893,1.00000,0.92987,1

ROUGE-3+StopWordRemoval,89783,TEXTRANK.TXT,0.86829,1.00000,0.92950,1

